ID,story,V_EWE,A_EWE
2419,the_juniper-tree,0.068,0.72
2420,the_juniper-tree,0.219,0.46
2421,the_juniper-tree,0.078,0.734
2422,the_juniper-tree,0.068,0.72
2423,the_juniper-tree,0.052,0.288
2424,the_juniper-tree,0.141,0.74
2425,the_juniper-tree,0.256,0.47
2426,the_juniper-tree,0.052,0.288
2427,the_juniper-tree,0.374,0.207
2428,the_juniper-tree,0.052,0.288
2429,the_juniper-tree,0.219,0.46
2430,the_juniper-tree,0.374,0.207
2431,the_juniper-tree,0.141,0.74
2432,the_juniper-tree,0.374,0.207
2433,the_juniper-tree,0.097,0.511
2434,the_juniper-tree,0.374,0.207
2435,the_juniper-tree,0.374,0.207
2436,the_juniper-tree,0.374,0.207
2437,the_juniper-tree,0.052,0.288
2438,the_juniper-tree,0.469,0.184
2439,the_juniper-tree,0.512,0.668
2440,the_juniper-tree,0.908,0.818
2441,the_juniper-tree,0.941,0.763
2442,the_juniper-tree,0.562,0.334
2443,the_juniper-tree,0.753,0.546
2444,the_juniper-tree,0.562,0.334
2445,the_juniper-tree,0.657,0.401
2446,the_juniper-tree,0.469,0.184
2447,the_juniper-tree,0.848,0.613
2448,the_juniper-tree,0.848,0.613
2449,the_juniper-tree,0.469,0.184
2450,the_juniper-tree,0.469,0.184
2451,the_juniper-tree,0.469,0.184
2452,the_juniper-tree,0.469,0.184
2453,the_juniper-tree,0.469,0.184
2454,the_juniper-tree,0.469,0.184
2455,the_juniper-tree,0.469,0.184
2456,the_juniper-tree,0.469,0.184
2457,the_juniper-tree,0.815,0.668
2458,the_juniper-tree,0.848,0.613
2459,the_juniper-tree,0.848,0.613
2460,the_juniper-tree,0.848,0.613
2461,the_juniper-tree,0.66,0.396
2462,the_juniper-tree,0.469,0.184
2463,the_juniper-tree,0.469,0.184
2464,the_juniper-tree,0.469,0.184
2465,the_juniper-tree,0.469,0.184
2466,the_juniper-tree,0.469,0.184
2467,the_juniper-tree,0.469,0.184
2468,the_juniper-tree,0.469,0.184
2469,the_juniper-tree,0.469,0.184
2470,the_juniper-tree,0.469,0.184
2471,the_juniper-tree,0.469,0.184
2472,the_juniper-tree,0.469,0.184
2473,the_juniper-tree,0.469,0.184
2474,the_juniper-tree,0.469,0.184
2475,the_juniper-tree,0.627,0.451
2476,the_juniper-tree,0.469,0.184
2477,the_juniper-tree,0.627,0.451
2478,the_juniper-tree,0.469,0.184
2479,the_juniper-tree,0.469,0.184
2480,the_juniper-tree,0.469,0.184
2481,the_juniper-tree,0.469,0.184
2482,the_juniper-tree,0.469,0.184
2483,the_juniper-tree,0.469,0.184
2484,the_juniper-tree,0.469,0.184
2485,the_juniper-tree,0.627,0.451
2486,the_juniper-tree,0.96,0.732
2487,the_juniper-tree,0.848,0.613
2488,the_juniper-tree,0.469,0.184
2489,the_juniper-tree,0.31,0.225
2490,the_juniper-tree,0.657,0.401
2491,the_juniper-tree,0.469,0.184
2492,the_juniper-tree,0.469,0.184
2493,the_juniper-tree,0.581,0.303
2494,the_juniper-tree,0.581,0.303
2495,the_juniper-tree,0.96,0.732
2496,the_juniper-tree,0.275,0.816
2497,the_juniper-tree,0.259,0.384
2498,the_juniper-tree,0.581,0.303
2499,the_juniper-tree,0.96,0.732
2500,the_juniper-tree,0.267,0.603
2501,the_juniper-tree,0.581,0.303
2502,the_juniper-tree,0.581,0.303
2503,the_juniper-tree,0.275,0.816
2504,the_juniper-tree,0.581,0.303
2505,the_juniper-tree,0.96,0.732
2506,the_juniper-tree,0.581,0.303
2507,the_juniper-tree,0.259,0.384
2508,the_juniper-tree,0.96,0.732
2509,the_juniper-tree,0.275,0.816
2510,the_juniper-tree,0.275,0.816
2511,the_juniper-tree,0.581,0.303
2512,the_juniper-tree,0.581,0.303
2513,the_juniper-tree,0.769,0.52
2514,the_juniper-tree,0.96,0.732
2515,the_juniper-tree,0.275,0.816
2516,the_juniper-tree,0.581,0.303
2517,the_juniper-tree,0.581,0.303
2518,the_juniper-tree,0.275,0.816
2519,the_juniper-tree,0.581,0.303
2520,the_juniper-tree,0.275,0.816
2521,the_juniper-tree,0.581,0.303
2522,the_juniper-tree,0.581,0.303
2523,the_juniper-tree,0.581,0.303
2524,the_juniper-tree,0.581,0.303
2525,the_juniper-tree,0.581,0.303
2526,the_juniper-tree,0.581,0.303
2527,the_juniper-tree,0.96,0.732
2528,the_juniper-tree,0.96,0.732
2529,the_juniper-tree,0.275,0.816
2530,the_juniper-tree,0.275,0.816
2531,the_juniper-tree,0.436,0.57
2532,the_juniper-tree,0.96,0.732
2533,the_golden_goose,0.173,0.298
2534,the_golden_goose,0.361,0.222
2535,the_golden_goose,0.173,0.235
2536,the_golden_goose,0.225,0.31
2537,the_golden_goose,0.252,0.569
2538,the_golden_goose,0.252,0.569
2539,the_golden_goose,0.361,0.222
2540,the_golden_goose,0.361,0.222
2541,the_golden_goose,0.225,0.31
2542,the_golden_goose,0.252,0.569
2543,the_golden_goose,0.361,0.222
2544,the_golden_goose,0.179,0.501
2545,the_golden_goose,0.143,0.855
2546,the_golden_goose,0.367,0.425
2547,the_golden_goose,0.173,0.235
2548,the_golden_goose,0.725,0.569
2549,the_golden_goose,0.937,0.785
2550,the_golden_goose,0.937,0.785
2551,the_golden_goose,0.716,0.714
2552,the_golden_goose,0.573,0.438
2553,the_golden_goose,0.937,0.785
2554,the_golden_goose,0.595,0.386
2555,the_golden_goose,0.595,0.386
2556,the_golden_goose,0.486,0.733
2557,the_golden_goose,0.486,0.733
2558,the_golden_goose,0.282,0.782
2559,the_golden_goose,0.391,0.435
2560,the_golden_goose,0.282,0.782
2561,the_golden_goose,0.391,0.435
2562,the_golden_goose,0.486,0.772
2563,the_golden_goose,0.486,0.772
2564,the_golden_goose,0.298,0.848
2565,the_golden_goose,0.298,0.848
2566,the_golden_goose,0.486,0.772
2567,the_golden_goose,0.486,0.772
2568,the_golden_goose,0.486,0.772
2569,the_golden_goose,0.486,0.772
2570,the_golden_goose,0.486,0.772
2571,the_golden_goose,0.486,0.772
2572,the_golden_goose,0.486,0.772
2573,the_golden_goose,0.486,0.772
2574,the_golden_goose,0.935,0.804
2575,the_golden_goose,0.298,0.809
2576,the_golden_goose,0.367,0.425
2577,the_golden_goose,0.179,0.438
2578,the_golden_goose,0.588,0.496
2579,the_golden_goose,0.959,0.733
2580,the_golden_goose,0.07,0.848
2581,the_golden_goose,0.179,0.438
2582,the_golden_goose,0.179,0.438
2583,the_golden_goose,0.731,0.772
2584,the_golden_goose,0.588,0.496
2585,the_golden_goose,0.707,0.843
2586,the_golden_goose,0.367,0.425
2587,the_golden_goose,0.367,0.425
2588,the_golden_goose,0.367,0.425
2589,the_golden_goose,0.816,0.457
2590,the_golden_goose,0.959,0.733
2591,the_golden_goose,0.959,0.733
2592,the_travelling_musicians,0.469,0.184
2593,the_travelling_musicians,0.203,0.248
2594,the_travelling_musicians,0.369,0.21
2595,the_travelling_musicians,0.369,0.21
2596,the_travelling_musicians,0.203,0.248
2597,the_travelling_musicians,0.586,0.319
2598,the_travelling_musicians,0.586,0.319
2599,the_travelling_musicians,0.303,0.222
2600,the_travelling_musicians,0.469,0.184
2601,the_travelling_musicians,0.303,0.222
2602,the_travelling_musicians,0.203,0.248
2603,the_travelling_musicians,0.052,0.289
2604,the_travelling_musicians,0.961,0.732
2605,the_travelling_musicians,0.961,0.732
2606,the_travelling_musicians,0.586,0.319
2607,the_travelling_musicians,0.565,0.409
2608,the_travelling_musicians,0.226,0.466
2609,the_travelling_musicians,0.451,0.589
2610,the_travelling_musicians,0.586,0.319
2611,the_travelling_musicians,0.586,0.319
2612,the_travelling_musicians,0.961,0.732
2613,the_travelling_musicians,0.586,0.319
2614,the_travelling_musicians,0.586,0.319
2615,the_travelling_musicians,0.765,0.533
2616,the_travelling_musicians,0.586,0.319
2617,the_travelling_musicians,0.765,0.533
2618,the_travelling_musicians,0.216,0.584
2619,the_travelling_musicians,0.374,0.346
2620,the_travelling_musicians,0.374,0.346
2621,the_travelling_musicians,0.374,0.346
2622,the_travelling_musicians,0.431,0.624
2623,the_travelling_musicians,0.566,0.354
2624,the_travelling_musicians,0.566,0.354
2625,the_travelling_musicians,0.469,0.184
2626,the_travelling_musicians,0.469,0.184
2627,the_travelling_musicians,0.38,0.354
2628,the_travelling_musicians,0.265,0.848
2629,the_travelling_musicians,0.961,0.732
2630,the_travelling_musicians,0.765,0.533
2631,the_travelling_musicians,0.782,0.518
2632,the_travelling_musicians,0.216,0.584
2633,the_travelling_musicians,0.374,0.346
2634,the_travelling_musicians,0.337,0.867
2635,the_travelling_musicians,0.265,0.848
2636,the_travelling_musicians,0.265,0.848
2637,the_travelling_musicians,0.961,0.732
2638,49_the_six_swans,0.469,0.185
2639,49_the_six_swans,0.33,0.383
2640,49_the_six_swans,0.33,0.383
2641,49_the_six_swans,0.219,0.569
2642,49_the_six_swans,0.469,0.185
2643,49_the_six_swans,0.219,0.569
2644,49_the_six_swans,0.33,0.466
2645,49_the_six_swans,0.469,0.185
2646,49_the_six_swans,0.322,0.229
2647,49_the_six_swans,0.204,0.614
2648,49_the_six_swans,0.469,0.185
2649,49_the_six_swans,0.615,0.332
2650,49_the_six_swans,0.066,0.673
2651,49_the_six_swans,0.469,0.185
2652,49_the_six_swans,0.469,0.185
2653,49_the_six_swans,0.469,0.185
2654,49_the_six_swans,0.358,0.371
2655,49_the_six_swans,0.358,0.371
2656,49_the_six_swans,0.358,0.371
2657,49_the_six_swans,0.531,0.606
2658,49_the_six_swans,0.227,0.667
2659,49_the_six_swans,0.227,0.667
2660,49_the_six_swans,0.081,0.698
2661,49_the_six_swans,0.081,0.698
2662,49_the_six_swans,0.065,0.446
2663,49_the_six_swans,0.065,0.446
2664,49_the_six_swans,0.08,0.85
2665,49_the_six_swans,0.073,0.683
2666,49_the_six_swans,0.184,0.497
2667,49_the_six_swans,0.358,0.371
2668,49_the_six_swans,0.469,0.185
2669,49_the_six_swans,0.358,0.371
2670,49_the_six_swans,0.469,0.185
2671,49_the_six_swans,0.59,0.371
2672,49_the_six_swans,0.959,0.732
2673,49_the_six_swans,0.959,0.732
2674,49_the_six_swans,0.184,0.497
2675,49_the_six_swans,0.08,0.85
2676,49_the_six_swans,0.191,0.664
2677,49_the_six_swans,0.073,0.683
2678,49_the_six_swans,0.052,0.288
2679,49_the_six_swans,0.065,0.446
2680,49_the_six_swans,0.065,0.446
2681,49_the_six_swans,0.065,0.446
2682,49_the_six_swans,0.212,0.402
2683,49_the_six_swans,0.469,0.185
2684,49_the_six_swans,0.469,0.185
2685,49_the_six_swans,0.469,0.185
2686,49_the_six_swans,0.469,0.185
2687,49_the_six_swans,0.469,0.185
2688,49_the_six_swans,0.469,0.185
2689,49_the_six_swans,0.469,0.185
2690,49_the_six_swans,0.469,0.185
2691,49_the_six_swans,0.469,0.185
2692,49_the_six_swans,0.469,0.185
2693,49_the_six_swans,0.469,0.185
2694,49_the_six_swans,0.358,0.371
2695,49_the_six_swans,0.469,0.185
2696,49_the_six_swans,0.469,0.185
2697,49_the_six_swans,0.469,0.185
2698,49_the_six_swans,0.469,0.185
2699,49_the_six_swans,0.358,0.371
2700,49_the_six_swans,0.959,0.732
2701,49_the_six_swans,0.64,0.35
2702,49_the_six_swans,0.64,0.35
2703,49_the_six_swans,0.959,0.732
2704,49_the_six_swans,0.813,0.585
2705,49_the_six_swans,0.086,0.799
2706,49_the_six_swans,0.086,0.799
2707,49_the_six_swans,0.086,0.799
2708,49_the_six_swans,0.227,0.667
2709,49_the_six_swans,0.081,0.845
2710,49_the_six_swans,0.227,0.667
2711,49_the_six_swans,0.358,0.371
2712,49_the_six_swans,0.358,0.371
2713,49_the_six_swans,0.469,0.185
2714,49_the_six_swans,0.088,0.865
2715,49_the_six_swans,0.615,0.332
2716,49_the_six_swans,0.469,0.185
2717,49_the_six_swans,0.33,0.383
2718,49_the_six_swans,0.959,0.732
2719,49_the_six_swans,0.959,0.732
2720,49_the_six_swans,0.358,0.371
2721,49_the_six_swans,0.813,0.585
2722,49_the_six_swans,0.358,0.371
2723,49_the_six_swans,0.702,0.771
2724,49_the_six_swans,0.959,0.732
2725,the_salad,0.338,0.184
2726,the_salad,0.338,0.184
2727,the_salad,0.623,0.184
2728,the_salad,0.623,0.184
2729,the_salad,0.623,0.184
2730,the_salad,0.623,0.184
2731,the_salad,0.96,0.732
2732,the_salad,0.8,0.429
2733,the_salad,0.96,0.732
2734,the_salad,0.623,0.184
2735,the_salad,0.623,0.184
2736,the_salad,0.96,0.732
2737,the_salad,0.8,0.429
2738,the_salad,0.8,0.429
2739,the_salad,0.8,0.429
2740,the_salad,0.623,0.184
2741,the_salad,0.216,0.546
2742,the_salad,0.345,0.184
2743,the_salad,0.345,0.184
2744,the_salad,0.682,0.732
2745,the_salad,0.345,0.184
2746,the_salad,0.345,0.184
2747,the_salad,0.345,0.184
2748,the_salad,0.202,0.241
2749,the_salad,0.13,0.865
2750,the_salad,0.188,0.231
2751,the_salad,0.052,0.288
2752,the_salad,0.515,0.429
2753,the_salad,0.96,0.732
2754,the_salad,0.188,0.231
2755,the_salad,0.188,0.231
2756,the_salad,0.052,0.288
2757,the_salad,0.216,0.546
2758,the_salad,0.209,0.51
2759,the_salad,0.1,0.815
2760,the_salad,0.209,0.51
2761,the_salad,0.345,0.184
2762,the_salad,0.345,0.184
2763,the_salad,0.195,0.231
2764,the_salad,0.345,0.184
2765,the_salad,0.073,0.84
2766,the_salad,0.8,0.429
2767,the_salad,0.473,0.231
2768,the_salad,0.8,0.429
2769,the_salad,0.623,0.184
2770,the_salad,0.236,0.489
2771,the_salad,0.345,0.184
2772,the_salad,0.345,0.184
2773,the_salad,0.345,0.184
2774,the_salad,0.345,0.184
2775,the_salad,0.345,0.184
2776,the_salad,0.345,0.184
2777,the_salad,0.345,0.184
2778,the_salad,0.345,0.184
2779,the_salad,0.623,0.184
2780,the_salad,0.96,0.732
2781,the_salad,0.623,0.184
2782,the_salad,0.623,0.184
2783,the_salad,0.623,0.184
2784,the_salad,0.275,0.56
2785,the_salad,0.374,0.184
2786,the_salad,0.374,0.184
2787,the_salad,0.374,0.184
2788,the_salad,0.374,0.184
2789,the_salad,0.8,0.429
2790,the_salad,0.623,0.184
2791,the_salad,0.623,0.184
2792,the_salad,0.348,0.534
2793,the_salad,0.515,0.429
2794,the_salad,0.783,0.487
2795,the_salad,0.96,0.732
2796,the_white_snake,0.469,0.183
2797,the_white_snake,0.601,0.327
2798,the_white_snake,0.469,0.183
2799,the_white_snake,0.469,0.183
2800,the_white_snake,0.348,0.327
2801,the_white_snake,0.348,0.327
2802,the_white_snake,0.793,0.505
2803,the_white_snake,0.348,0.327
2804,the_white_snake,0.601,0.327
2805,the_white_snake,0.601,0.327
2806,the_white_snake,0.333,0.205
2807,the_white_snake,0.135,0.854
2808,the_white_snake,0.066,0.725
2809,the_white_snake,0.073,0.84
2810,the_white_snake,0.793,0.505
2811,the_white_snake,0.469,0.183
2812,the_white_snake,0.193,0.245
2813,the_white_snake,0.348,0.327
2814,the_white_snake,0.469,0.183
2815,the_white_snake,0.601,0.327
2816,the_white_snake,0.96,0.733
2817,the_white_snake,0.629,0.298
2818,the_white_snake,0.333,0.205
2819,the_white_snake,0.2,0.453
2820,the_white_snake,0.96,0.733
2821,the_white_snake,0.469,0.183
2822,the_white_snake,0.13,0.745
2823,the_white_snake,0.167,0.865
2824,the_white_snake,0.96,0.733
2825,the_white_snake,0.469,0.183
2826,the_white_snake,0.128,0.831
2827,the_white_snake,0.059,0.496
2828,the_white_snake,0.192,0.248
2829,the_white_snake,0.192,0.248
2830,the_white_snake,0.469,0.183
2831,the_white_snake,0.96,0.733
2832,the_white_snake,0.469,0.183
2833,the_white_snake,0.469,0.183
2834,the_white_snake,0.629,0.298
2835,the_white_snake,0.348,0.327
2836,the_white_snake,0.052,0.288
2837,the_white_snake,0.737,0.588
2838,the_white_snake,0.768,0.555
2839,the_white_snake,0.96,0.733
2840,the_white_snake,0.052,0.774
2841,the_white_snake,0.469,0.183
2842,the_white_snake,0.052,0.288
2843,the_white_snake,0.768,0.555
2844,the_white_snake,0.796,0.526
2845,the_white_snake,0.601,0.327
2846,the_white_snake,0.333,0.306
2847,the_white_snake,0.333,0.205
2848,the_white_snake,0.469,0.183
2849,the_white_snake,0.601,0.327
2850,the_white_snake,0.796,0.526
2851,the_white_snake,0.96,0.733
2852,the_white_snake,0.96,0.733
2853,163_the_glass_coffin,0.643,0.383
2854,163_the_glass_coffin,0.201,0.448
2855,163_the_glass_coffin,0.052,0.289
2856,163_the_glass_coffin,0.074,0.84
2857,163_the_glass_coffin,0.62,0.32
2858,163_the_glass_coffin,0.347,0.347
2859,163_the_glass_coffin,0.469,0.184
2860,163_the_glass_coffin,0.62,0.32
2861,163_the_glass_coffin,0.274,0.618
2862,163_the_glass_coffin,0.354,0.355
2863,163_the_glass_coffin,0.129,0.83
2864,163_the_glass_coffin,0.514,0.409
2865,163_the_glass_coffin,0.494,0.589
2866,163_the_glass_coffin,0.089,0.862
2867,163_the_glass_coffin,0.486,0.575
2868,163_the_glass_coffin,0.215,0.593
2869,163_the_glass_coffin,0.111,0.86
2870,163_the_glass_coffin,0.25,0.622
2871,163_the_glass_coffin,0.089,0.862
2872,163_the_glass_coffin,0.089,0.862
2873,163_the_glass_coffin,0.067,0.703
2874,163_the_glass_coffin,0.34,0.21
2875,163_the_glass_coffin,0.469,0.184
2876,163_the_glass_coffin,0.34,0.21
2877,163_the_glass_coffin,0.354,0.355
2878,163_the_glass_coffin,0.089,0.862
2879,163_the_glass_coffin,0.067,0.703
2880,163_the_glass_coffin,0.213,0.602
2881,163_the_glass_coffin,0.321,0.848
2882,163_the_glass_coffin,0.62,0.32
2883,163_the_glass_coffin,0.62,0.32
2884,163_the_glass_coffin,0.469,0.184
2885,163_the_glass_coffin,0.469,0.184
2886,163_the_glass_coffin,0.594,0.355
2887,163_the_glass_coffin,0.594,0.355
2888,163_the_glass_coffin,0.757,0.589
2889,163_the_glass_coffin,0.905,0.823
2890,163_the_glass_coffin,0.905,0.823
2891,163_the_glass_coffin,0.469,0.184
2892,163_the_glass_coffin,0.469,0.184
2893,163_the_glass_coffin,0.931,0.788
2894,163_the_glass_coffin,0.594,0.355
2895,163_the_glass_coffin,0.594,0.355
2896,163_the_glass_coffin,0.96,0.732
2897,163_the_glass_coffin,0.96,0.732
2898,163_the_glass_coffin,0.96,0.732
2899,163_the_glass_coffin,0.62,0.32
2900,163_the_glass_coffin,0.96,0.732
2901,163_the_glass_coffin,0.96,0.732
2902,163_the_glass_coffin,0.96,0.732
2903,163_the_glass_coffin,0.62,0.32
2904,163_the_glass_coffin,0.62,0.32
2905,163_the_glass_coffin,0.469,0.184
2906,163_the_glass_coffin,0.96,0.732
2907,163_the_glass_coffin,0.96,0.732
2908,163_the_glass_coffin,0.469,0.184
2909,163_the_glass_coffin,0.469,0.184
2910,163_the_glass_coffin,0.62,0.32
2911,163_the_glass_coffin,0.34,0.21
2912,163_the_glass_coffin,0.786,0.533
2913,163_the_glass_coffin,0.089,0.862
2914,163_the_glass_coffin,0.075,0.717
2915,163_the_glass_coffin,0.215,0.593
2916,163_the_glass_coffin,0.354,0.355
2917,163_the_glass_coffin,0.06,0.798
2918,163_the_glass_coffin,0.27,0.6
2919,163_the_glass_coffin,0.208,0.585
2920,163_the_glass_coffin,0.208,0.585
2921,163_the_glass_coffin,0.074,0.84
2922,163_the_glass_coffin,0.213,0.602
2923,163_the_glass_coffin,0.34,0.21
2924,163_the_glass_coffin,0.208,0.585
2925,163_the_glass_coffin,0.052,0.289
2926,163_the_glass_coffin,0.2,0.385
2927,163_the_glass_coffin,0.168,0.865
2928,163_the_glass_coffin,0.082,0.854
2929,163_the_glass_coffin,0.075,0.717
2930,163_the_glass_coffin,0.067,0.517
2931,163_the_glass_coffin,0.193,0.248
2932,163_the_glass_coffin,0.229,0.391
2933,163_the_glass_coffin,0.193,0.248
2934,163_the_glass_coffin,0.96,0.732
2935,163_the_glass_coffin,0.62,0.32
2936,163_the_glass_coffin,0.469,0.184
2937,163_the_glass_coffin,0.809,0.596
2938,163_the_glass_coffin,0.905,0.823
2939,163_the_glass_coffin,0.469,0.184
2940,163_the_glass_coffin,0.934,0.767
2941,163_the_glass_coffin,0.96,0.732
2942,snowdrop,0.468,0.183
2943,snowdrop,0.344,0.207
2944,snowdrop,0.344,0.207
2945,snowdrop,0.813,0.609
2946,snowdrop,0.06,0.53
2947,snowdrop,0.332,0.47
2948,snowdrop,0.468,0.183
2949,snowdrop,0.468,0.183
2950,snowdrop,0.468,0.183
2951,snowdrop,0.468,0.183
2952,snowdrop,0.644,0.369
2953,snowdrop,0.468,0.183
2954,snowdrop,0.378,0.336
2955,snowdrop,0.167,0.865
2956,snowdrop,0.365,0.483
2957,snowdrop,0.196,0.243
2958,snowdrop,0.067,0.717
2959,snowdrop,0.35,0.33
2960,snowdrop,0.468,0.183
2961,snowdrop,0.468,0.183
2962,snowdrop,0.615,0.306
2963,snowdrop,0.35,0.33
2964,snowdrop,0.35,0.33
2965,snowdrop,0.222,0.632
2966,snowdrop,0.274,0.634
2967,snowdrop,0.274,0.634
2968,snowdrop,0.274,0.634
2969,snowdrop,0.274,0.634
2970,snowdrop,0.274,0.634
2971,snowdrop,0.274,0.634
2972,snowdrop,0.274,0.634
2973,snowdrop,0.274,0.634
2974,snowdrop,0.274,0.634
2975,snowdrop,0.931,0.794
2976,snowdrop,0.96,0.732
2977,snowdrop,0.96,0.732
2978,snowdrop,0.474,0.529
2979,snowdrop,0.35,0.33
2980,snowdrop,0.35,0.33
2981,snowdrop,0.35,0.33
2982,snowdrop,0.35,0.33
2983,snowdrop,0.35,0.33
2984,snowdrop,0.107,0.848
2985,snowdrop,0.139,0.859
2986,snowdrop,0.35,0.33
2987,snowdrop,0.519,0.57
2988,snowdrop,0.35,0.33
2989,snowdrop,0.519,0.57
2990,snowdrop,0.35,0.33
2991,snowdrop,0.35,0.33
2992,snowdrop,0.074,0.668
2993,snowdrop,0.098,0.829
2994,snowdrop,0.059,0.412
2995,snowdrop,0.695,0.756
2996,snowdrop,0.35,0.33
2997,snowdrop,0.222,0.632
2998,snowdrop,0.35,0.33
2999,snowdrop,0.167,0.865
3000,snowdrop,0.378,0.336
3001,snowdrop,0.242,0.623
3002,snowdrop,0.35,0.33
3003,snowdrop,0.074,0.668
3004,snowdrop,0.074,0.833
3005,snowdrop,0.222,0.632
3006,snowdrop,0.35,0.33
3007,snowdrop,0.139,0.859
3008,snowdrop,0.243,0.561
3009,snowdrop,0.214,0.617
3010,snowdrop,0.35,0.33
3011,snowdrop,0.214,0.617
3012,snowdrop,0.139,0.859
3013,snowdrop,0.243,0.561
3014,snowdrop,0.35,0.33
3015,snowdrop,0.209,0.553
3016,snowdrop,0.35,0.33
3017,snowdrop,0.06,0.53
3018,snowdrop,0.06,0.695
3019,snowdrop,0.344,0.207
3020,snowdrop,0.208,0.494
3021,snowdrop,0.06,0.53
3022,snowdrop,0.053,0.289
3023,snowdrop,0.053,0.289
3024,snowdrop,0.053,0.289
3025,snowdrop,0.201,0.253
3026,snowdrop,0.053,0.289
3027,snowdrop,0.053,0.289
3028,snowdrop,0.344,0.207
3029,snowdrop,0.201,0.253
3030,snowdrop,0.648,0.538
3031,snowdrop,0.96,0.732
3032,snowdrop,0.96,0.732
3033,snowdrop,0.96,0.732
3034,snowdrop,0.615,0.306
3035,snowdrop,0.615,0.306
3036,snowdrop,0.615,0.306
3037,snowdrop,0.615,0.306
3038,snowdrop,0.615,0.306
3039,snowdrop,0.139,0.859
3040,snowdrop,0.96,0.732
3041,the_water_of_life,0.469,0.185
3042,the_water_of_life,0.315,0.228
3043,the_water_of_life,0.052,0.288
3044,the_water_of_life,0.052,0.288
3045,the_water_of_life,0.358,0.202
3046,the_water_of_life,0.358,0.202
3047,the_water_of_life,0.206,0.245
3048,the_water_of_life,0.206,0.245
3049,the_water_of_life,0.06,0.518
3050,the_water_of_life,0.358,0.202
3051,the_water_of_life,0.469,0.185
3052,the_water_of_life,0.064,0.792
3053,the_water_of_life,0.359,0.468
3054,the_water_of_life,0.334,0.472
3055,the_water_of_life,0.469,0.185
3056,the_water_of_life,0.469,0.185
3057,the_water_of_life,0.469,0.185
3058,the_water_of_life,0.469,0.185
3059,the_water_of_life,0.082,0.791
3060,the_water_of_life,0.236,0.545
3061,the_water_of_life,0.388,0.299
3062,the_water_of_life,0.6,0.276
3063,the_water_of_life,0.469,0.185
3064,the_water_of_life,0.469,0.185
3065,the_water_of_life,0.577,0.3
3066,the_water_of_life,0.577,0.3
3067,the_water_of_life,0.577,0.3
3068,the_water_of_life,0.577,0.3
3069,the_water_of_life,0.577,0.3
3070,the_water_of_life,0.363,0.295
3071,the_water_of_life,0.363,0.295
3072,the_water_of_life,0.363,0.295
3073,the_water_of_life,0.363,0.295
3074,the_water_of_life,0.363,0.295
3075,the_water_of_life,0.937,0.756
3076,the_water_of_life,0.577,0.3
3077,the_water_of_life,0.363,0.295
3078,the_water_of_life,0.363,0.295
3079,the_water_of_life,0.073,0.841
3080,the_water_of_life,0.082,0.855
3081,the_water_of_life,0.96,0.732
3082,the_water_of_life,0.6,0.276
3083,the_water_of_life,0.6,0.276
3084,the_water_of_life,0.542,0.523
3085,the_water_of_life,0.723,0.751
3086,the_water_of_life,0.082,0.855
3087,the_water_of_life,0.363,0.295
3088,the_water_of_life,0.723,0.751
3089,the_water_of_life,0.544,0.523
3090,the_water_of_life,0.142,0.861
3091,the_water_of_life,0.278,0.582
3092,the_water_of_life,0.388,0.299
3093,the_water_of_life,0.099,0.629
3094,the_water_of_life,0.388,0.299
3095,the_water_of_life,0.234,0.545
3096,the_water_of_life,0.388,0.299
3097,the_water_of_life,0.234,0.545
3098,the_water_of_life,0.253,0.586
3099,the_water_of_life,0.253,0.586
3100,the_water_of_life,0.167,0.865
3101,the_water_of_life,0.082,0.385
3102,the_water_of_life,0.082,0.385
3103,the_water_of_life,0.236,0.342
3104,the_water_of_life,0.057,0.381
3105,the_water_of_life,0.082,0.855
3106,the_water_of_life,0.629,0.547
3107,the_water_of_life,0.6,0.276
3108,the_water_of_life,0.6,0.276
3109,the_water_of_life,0.294,0.362
3110,the_water_of_life,0.779,0.504
3111,the_water_of_life,0.96,0.732
3112,the_water_of_life,0.6,0.276
3113,the_water_of_life,0.6,0.276
3114,the_water_of_life,0.6,0.276
3115,the_water_of_life,0.6,0.276
3116,the_water_of_life,0.6,0.276
3117,the_water_of_life,0.6,0.276
3118,the_water_of_life,0.6,0.276
3119,the_water_of_life,0.6,0.276
3120,the_water_of_life,0.96,0.732
3121,the_water_of_life,0.781,0.504
3122,the_water_of_life,0.6,0.276
3123,the_water_of_life,0.49,0.559
3124,the_water_of_life,0.96,0.732
3125,the_water_of_life,0.96,0.732
3126,the_water_of_life,0.96,0.732
3127,the_water_of_life,0.96,0.732
3128,fundevogel,0.469,0.185
3129,fundevogel,0.469,0.185
3130,fundevogel,0.606,0.359
3131,fundevogel,0.469,0.185
3132,fundevogel,0.469,0.185
3133,fundevogel,0.719,0.42
3134,fundevogel,0.469,0.185
3135,fundevogel,0.469,0.185
3136,fundevogel,0.469,0.185
3137,fundevogel,0.072,0.827
3138,fundevogel,0.183,0.631
3139,fundevogel,0.386,0.35
3140,fundevogel,0.386,0.35
3141,fundevogel,0.386,0.35
3142,fundevogel,0.072,0.839
3143,fundevogel,0.461,0.531
3144,fundevogel,0.155,0.674
3145,fundevogel,0.468,0.542
3146,fundevogel,0.313,0.834
3147,fundevogel,0.306,0.823
3148,fundevogel,0.386,0.35
3149,fundevogel,0.183,0.631
3150,fundevogel,0.183,0.631
3151,fundevogel,0.469,0.185
